# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.20000000000e+01, 1.00000000000e+07, 6.31394839684e+00, 1.03131804059e-05, 4.95534628923e+06
 9.20000000000e+01, 1.10000000000e+07, 6.91103000785e+00, 1.03254805719e-05, 4.96160694008e+06
 9.20000000000e+01, 1.20000000000e+07, 7.50216471283e+00, 1.03385843934e-05, 4.96791723888e+06
 9.20000000000e+01, 1.30000000000e+07, 8.08742435590e+00, 1.03524663009e-05, 4.97427654390e+06
 9.20000000000e+01, 1.40000000000e+07, 8.66688078545e+00, 1.03671014539e-05, 4.98068409414e+06
 9.20000000000e+01, 1.50000000000e+07, 9.24060587002e+00, 1.03824657283e-05, 4.98713903111e+06
 9.20000000000e+01, 1.60000000000e+07, 9.80867149036e+00, 1.03985357032e-05, 4.99364041799e+06
 9.20000000000e+01, 1.70000000000e+07, 1.03711495134e+01, 1.04152886476e-05, 5.00018725617e+06
 9.20000000000e+01, 1.80000000000e+07, 1.09281117531e+01, 1.04327025068e-05, 5.00677849969e+06
 9.20000000000e+01, 1.90000000000e+07, 1.14796299215e+01, 1.04507558881e-05, 5.01341306774e+06
 9.20000000000e+01, 2.00000000000e+07, 1.20257755740e+01, 1.04694280467e-05, 5.02008985534e+06
 9.90000000000e+01, 6.00000000000e+06, 3.79369675741e+00, 1.04061696802e-05, 5.03263979002e+06
 9.90000000000e+01, 7.00000000000e+06, 4.40419653836e+00, 1.04145664230e-05, 5.03879973429e+06
 9.90000000000e+01, 8.00000000000e+06, 5.00866834287e+00, 1.04238558828e-05, 5.04500721822e+06
